,Scores CV,Dim test
0,0.9285714285714285,28
1,0.8572845804988661,28
2,0.9145354645354644,28
3,0.8952380952380953,28
4,0.9191403834260977,28
5,0.8044642857142856,28
6,0.8691326530612243,28
7,0.8095521541950114,28
8,0.834920634920635,28
9,0.9664835164835165,28
10,0.8577380952380952,28
11,0.8881029684601113,28
12,0.9280045351473925,28
13,0.9307953950811093,28
14,1.0,28
15,0.9619047619047618,28
16,0.9597069597069596,28
17,0.890702947845805,28
18,0.8349206349206348,28
19,0.7765436944008373,28
20,0.8938492063492064,28
21,0.8408163265306123,28
22,1.0,28
23,0.8188492063492063,28
24,0.9597069597069597,28
25,0.871067821067821,28
26,0.8986394557823129,28
27,1.0,28
28,0.9280045351473923,28
29,1.0,28
30,1.0,28
31,0.926984126984127,28
32,0.9166666666666666,28
33,0.963265306122449,28
34,0.8944727891156463,28
35,0.8522108843537415,28
36,1.0,28
37,0.8496598639455782,28
38,0.9285714285714286,28
39,0.926530612244898,28
40,0.9603174603174602,28
41,0.8591269841269841,28
42,0.9653061224489796,28
43,0.9261904761904762,28
44,0.963265306122449,28
45,0.8912337662337662,28
46,0.8275510204081632,28
47,1.0,28
48,1.0,28
49,0.8511904761904763,28
