importance,stddev,p_value,n,p99_high,p99_low
0.19924000000000003,0.009390846607202172,5.904848843148548e-07,5,0.21857588295952288,0.17990411704047718
0.15268,0.003330465432938727,2.7151691041622423e-08,5,0.15953747435834498,0.14582252564165504
0.12756000000000003,0.0030179463215902597,3.7570345492732974e-08,5,0.13377399318860536,0.12134600681139471
0.1142,0.006700746227100385,1.4158542298611707e-06,5,0.12799692909575475,0.10040307090424526
0.11232,0.005534618324690489,7.051782100325505e-07,5,0.12371585562709232,0.10092414437290768
0.091,0.0037496666518505154,3.4514675478258244e-07,5,0.09872061546206091,0.08327938453793908
0.08652000000000001,0.004867442860476103,1.1969835146845988e-06,5,0.09654213212493004,0.07649786787506999
0.07880000000000001,0.005520869496736896,2.8725608264664443e-06,5,0.09016754660030689,0.06743245339969313
0.07328000000000001,0.004991192242340502,2.5666994710151956e-06,5,0.08355693381258705,0.06300306618741297
0.07052,0.005041031640448195,3.112121599095847e-06,5,0.08089955382214448,0.06014044617785553
0.06856000000000002,0.005058458263146989,3.5304090248951108e-06,5,0.07897543547914283,0.058144564520857214
0.02871999999999999,0.0033573799308389374,2.2007634703001448e-05,5,0.03563289168151939,0.021807108318480588
0.02751999999999999,0.0021004761364985555,4.0410357574827655e-06,5,0.03184490939671594,0.023195090603284035
0.024480000000000012,0.003077661449867414,2.9357659243822875e-05,5,0.030816947463078784,0.01814305253692124
0.013680000000000025,0.0009230384607371852,2.4722043287359067e-06,5,0.015580548948405194,0.011779451051594857
0.01152000000000002,0.0027040710049848877,0.0003389955974383406,5,0.017087719573496984,0.005952280426503055
0.010199999999999987,0.0015297058540778483,5.892497835623414e-05,5,0.013349685496328041,0.0070503145036719325
0.009520000000000039,0.0005585696017507418,1.415636734972866e-06,5,0.01067010253025715,0.008369897469742928
0.0046800000000000175,0.0005403702434442375,2.0954763901240156e-05,5,0.005792629799962173,0.0035673702000378615
0.003960000000000008,0.0011171392035015215,0.0006856396839097398,5,0.006260205060514308,0.0016597949394857067
